"","variables","cases","total_successes","total_failures","hiper_count_overall","hiper_count_fail","hiper_count_success","mean_overall","mean_fail","mean_success","success_odds","fail_odds","odds_ratio","log10_odds_ratio"
"DiffLag1.smaller.medium","DiffLag1.smaller.medium",69,9,60,104,95,9,1.50724637681159,1.58333333333333,1,0,-2.71428571428571,0,0
"DiffLag1.smaller.high","DiffLag1.smaller.high",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag1.bigger_share.low","DiffLag1.bigger_share.low",69,9,60,86,76,10,1.2463768115942,1.26666666666667,1.11111111111111,-10,-4.75,2.10526315789474,0.323306390375133
"DiffLag1.bigger_share.medium","DiffLag1.bigger_share.medium",69,9,60,104,89,15,1.50724637681159,1.48333333333333,1.66666666666667,-2.5,-3.06896551724138,0.814606741573034,-0.0890520000739191
"DiffLag1.bigger_share.high","DiffLag1.bigger_share.high",69,9,60,86,75,11,1.2463768115942,1.25,1.22222222222222,-5.5,-5,1.1,0.0413926851582251
"DiffLag1.kids_share.low","DiffLag1.kids_share.low",69,9,60,86,75,11,1.2463768115942,1.25,1.22222222222222,-5.5,-5,1.1,0.0413926851582251
"DiffLag1.kids_share.medium","DiffLag1.kids_share.medium",69,9,60,104,91,13,1.50724637681159,1.51666666666667,1.44444444444444,-3.25,-2.93548387096774,1.10714285714286,0.0442036624920535
"DiffLag1.kids_share.high","DiffLag1.kids_share.high",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag1.other_share.low","DiffLag1.other_share.low",69,9,60,86,77,9,1.2463768115942,1.28333333333333,1,0,-4.52941176470588,0,0
"DiffLag1.other_share.medium","DiffLag1.other_share.medium",69,9,60,104,86,18,1.50724637681159,1.43333333333333,2,-2,-3.30769230769231,0.604651162790698,-0.218495107608769
"DiffLag1.other_share.high","DiffLag1.other_share.high",69,9,60,86,77,9,1.2463768115942,1.28333333333333,1,0,-4.52941176470588,0,0
"DiffLag1.regular_share.low","DiffLag1.regular_share.low",69,9,60,86,75,11,1.2463768115942,1.25,1.22222222222222,-5.5,-5,1.1,0.0413926851582251
"DiffLag1.regular_share.medium","DiffLag1.regular_share.medium",69,9,60,104,92,12,1.50724637681159,1.53333333333333,1.33333333333333,-4,-2.875,1.39130434782609,0.143422142302313
"DiffLag1.regular_share.high","DiffLag1.regular_share.high",69,9,60,86,73,13,1.2463768115942,1.21666666666667,1.44444444444444,-3.25,-5.61538461538461,0.578767123287671,-0.237496146834745
"DiffLag1.smaller_share.low","DiffLag1.smaller_share.low",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag1.smaller_share.medium","DiffLag1.smaller_share.medium",69,9,60,104,91,13,1.50724637681159,1.51666666666667,1.44444444444444,-3.25,-2.93548387096774,1.10714285714286,0.0442036624920535
"DiffLag1.smaller_share.high","DiffLag1.smaller_share.high",69,9,60,86,75,11,1.2463768115942,1.25,1.22222222222222,-5.5,-5,1.1,0.0413926851582251
"DiffLag1.no.low","DiffLag1.no.low",69,9,60,86,71,15,1.2463768115942,1.18333333333333,1.66666666666667,-2.5,-6.45454545454545,0.387323943661972,-0.411925654888813
"DiffLag1.no.medium","DiffLag1.no.medium",69,9,60,104,95,9,1.50724637681159,1.58333333333333,1,0,-2.71428571428571,0,0
"DiffLag1.no.high","DiffLag1.no.high",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag1.yes.low","DiffLag1.yes.low",69,9,60,86,73,13,1.2463768115942,1.21666666666667,1.44444444444444,-3.25,-5.61538461538461,0.578767123287671,-0.237496146834745
"DiffLag1.yes.medium","DiffLag1.yes.medium",69,9,60,104,95,9,1.50724637681159,1.58333333333333,1,0,-2.71428571428571,0,0
"DiffLag1.yes.high","DiffLag1.yes.high",69,9,60,86,72,14,1.2463768115942,1.2,1.55555555555556,-2.8,-6,0.466666666666667,-0.330993219041424
"DiffLag1.no_share.low","DiffLag1.no_share.low",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag1.no_share.medium","DiffLag1.no_share.medium",69,9,60,104,92,12,1.50724637681159,1.53333333333333,1.33333333333333,-4,-2.875,1.39130434782609,0.143422142302313
"DiffLag1.no_share.high","DiffLag1.no_share.high",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag1.yes_share.low","DiffLag1.yes_share.low",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag1.yes_share.medium","DiffLag1.yes_share.medium",69,9,60,104,92,12,1.50724637681159,1.53333333333333,1.33333333333333,-4,-2.875,1.39130434782609,0.143422142302313
"DiffLag1.yes_share.high","DiffLag1.yes_share.high",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag1.price_per_unit.low","DiffLag1.price_per_unit.low",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag1.price_per_unit.medium","DiffLag1.price_per_unit.medium",69,9,60,104,90,14,1.50724637681159,1.5,1.55555555555556,-2.8,-3,0.933333333333333,-0.0299632233774433
"DiffLag1.price_per_unit.high","DiffLag1.price_per_unit.high",69,9,60,86,76,10,1.2463768115942,1.26666666666667,1.11111111111111,-10,-4.75,2.10526315789474,0.323306390375133
"DiffLag1.over_thirty_package_number.low","DiffLag1.over_thirty_package_number.low",69,9,60,86,71,15,1.2463768115942,1.18333333333333,1.66666666666667,-2.5,-6.45454545454545,0.387323943661972,-0.411925654888813
"DiffLag1.over_thirty_package_number.medium","DiffLag1.over_thirty_package_number.medium",69,9,60,104,95,9,1.50724637681159,1.58333333333333,1,0,-2.71428571428571,0,0
"DiffLag1.over_thirty_package_number.high","DiffLag1.over_thirty_package_number.high",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag1.ten_thirty_package_number.low","DiffLag1.ten_thirty_package_number.low",69,9,60,86,69,17,1.2463768115942,1.15,1.88888888888889,-2.125,-7.66666666666667,0.277173913043478,-0.5572476469116
"DiffLag1.ten_thirty_package_number.medium","DiffLag1.ten_thirty_package_number.medium",69,9,60,104,95,9,1.50724637681159,1.58333333333333,1,0,-2.71428571428571,0,0
"DiffLag1.ten_thirty_package_number.high","DiffLag1.ten_thirty_package_number.high",69,9,60,86,76,10,1.2463768115942,1.26666666666667,1.11111111111111,-10,-4.75,2.10526315789474,0.323306390375133
"DiffLag1.three_ten_package_number.low","DiffLag1.three_ten_package_number.low",69,9,60,86,72,14,1.2463768115942,1.2,1.55555555555556,-2.8,-6,0.466666666666667,-0.330993219041424
"DiffLag1.three_ten_package_number.medium","DiffLag1.three_ten_package_number.medium",69,9,60,104,94,10,1.50724637681159,1.56666666666667,1.11111111111111,-10,-2.76470588235294,3.61702127659574,0.558351063442556
"DiffLag1.three_ten_package_number.high","DiffLag1.three_ten_package_number.high",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag1.zero_three_package_number.low","DiffLag1.zero_three_package_number.low",69,9,60,86,72,14,1.2463768115942,1.2,1.55555555555556,-2.8,-6,0.466666666666667,-0.330993219041424
"DiffLag1.zero_three_package_number.medium","DiffLag1.zero_three_package_number.medium",69,9,60,104,94,10,1.50724637681159,1.56666666666667,1.11111111111111,-10,-2.76470588235294,3.61702127659574,0.558351063442556
"DiffLag1.zero_three_package_number.high","DiffLag1.zero_three_package_number.high",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag2.cloth.low","DiffLag2.cloth.low",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag2.cloth.medium","DiffLag2.cloth.medium",69,9,60,107,96,11,1.55072463768116,1.6,1.22222222222222,-5.5,-2.66666666666667,2.0625,0.314393957221963
"DiffLag2.cloth.high","DiffLag2.cloth.high",69,9,60,83,70,13,1.20289855072464,1.16666666666667,1.44444444444444,-3.25,-7,0.464285714285714,-0.333214679035382
"DiffLag2.gauze.low","DiffLag2.gauze.low",69,9,60,86,72,14,1.2463768115942,1.2,1.55555555555556,-2.8,-6,0.466666666666667,-0.330993219041424
"DiffLag2.gauze.medium","DiffLag2.gauze.medium",69,9,60,104,94,10,1.50724637681159,1.56666666666667,1.11111111111111,-10,-2.76470588235294,3.61702127659574,0.558351063442556
"DiffLag2.gauze.high","DiffLag2.gauze.high",69,9,60,86,74,12,1.2463768115942,1.23333333333333,1.33333333333333,-4,-5.28571428571429,0.756756756756757,-0.121043692724776
"DiffLag2.heating.moisturizing.low","DiffLag2.heating.moisturizing.low",69,9,60,85,71,14,1.23188405797101,1.18333333333333,1.55555555555556,-2.8,-6.45454545454545,0.433802816901408,-0.362707632218631
"DiffLag2.heating.moisturizing.medium","DiffLag2.heating.moisturizing.medium",69,9,60,105,93,12,1.52173913043478,1.55,1.33333333333333,-4,-2.81818181818182,1.41935483870968,0.152090982651915
"DiffLag2.heating.moisturizing.high","DiffLag2.heating.moisturizing.high",69,9,60,86,76,10,1.2463768115942,1.26666666666667,1.11111111111111,-10,-4.75,2.10526315789474,0.323306390375133
"DiffLag2.nonwoven.low","DiffLag2.nonwoven.low",69,9,60,86,72,14,1.2463768115942,1.2,1.55555555555556,-2.8,-6,0.466666666666667,-0.330993219041424
